# Copyright (C) 1991-2007 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 7.2 Build 151 09/26/2007 SJ Full Version
# File: D:\v1.21\DE2_70_TOP.csv
# Generated on: Wed Nov 14 23:36:20 2007

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

From,To,Assignment Name,Value,Enabled
,SSRAM_ADDRESS[5],Location,PIN_AG5,Yes
,SSRAM_ADDRESS[6],Location,PIN_AE12,Yes
,SSRAM_ADDRESS[7],Location,PIN_AG12,Yes
,SSRAM_ADDRESS[8],Location,PIN_AD13,Yes
,SSRAM_ADDRESS[9],Location,PIN_AE13,Yes
,SSRAM_ADDRESS[10],Location,PIN_AF14,Yes
,SSRAM_ADDRESS[11],Location,PIN_AG14,Yes
,SSRAM_ADDRESS[12],Location,PIN_AE15,Yes
,SSRAM_ADDRESS[13],Location,PIN_AF15,Yes
,SSRAM_ADDRESS[14],Location,PIN_AC16,Yes
,SSRAM_ADDRESS[15],Location,PIN_AF20,Yes
,SSRAM_ADDRESS[16],Location,PIN_AG20,Yes
,SSRAM_ADDRESS[17],Location,PIN_AE11,Yes
,SSRAM_ADDRESS[18],Location,PIN_AF11,Yes
,SSRAM_DPA[0],Location,PIN_AK9,Yes
,SSRAM_DPA[1],Location,PIN_AJ23,Yes
,SSRAM_DPA[2],Location,PIN_AK20,Yes
,SSRAM_DPA[3],Location,PIN_AJ9,Yes
,SSRAM_DATA[0],Location,PIN_AH10,Yes
,SSRAM_DATA[1],Location,PIN_AJ10,Yes
,SSRAM_DATA[2],Location,PIN_AK10,Yes
,SSRAM_DATA[3],Location,PIN_AJ11,Yes
,SSRAM_DATA[4],Location,PIN_AK11,Yes
,SSRAM_DATA[5],Location,PIN_AH12,Yes
,SSRAM_DATA[6],Location,PIN_AJ12,Yes
,SSRAM_DATA[7],Location,PIN_AH16,Yes
,SSRAM_DATA[8],Location,PIN_AK17,Yes
,SSRAM_DATA[9],Location,PIN_AJ17,Yes
,SSRAM_DATA[10],Location,PIN_AH17,Yes
,SSRAM_DATA[11],Location,PIN_AJ18,Yes
,SSRAM_DATA[12],Location,PIN_AH18,Yes
,SSRAM_DATA[13],Location,PIN_AK19,Yes
